variant,seed,params,score_elements_per_layer,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,488760,32768,2000,8.166136264801025,7.274782955646515,8.17833161354065,7.310647785663605,7.310647785663605,8.630005187500501,,,
triangular_v5_gated_topk,123,513346,65536,2000,8.166435599327087,7.279041051864624,8.161416172981262,7.308712065219879,7.308712065219879,24.678166750003584,3.4931775331497192,0.12073078751564026,1.099242389202118
