variant,seed,params,score_elements_per_layer,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,488760,32768,1000,8.166136264801025,7.282123625278473,8.17833161354065,7.313291907310486,7.311525642871857,8.601551749976352,,,
triangular_v2_scaled,123,505146,1048576,1000,8.16578495502472,7.282769620418549,8.160051822662354,7.311144471168518,7.311144471168518,23.237805083044805,4.709150314331055,0.09835375659167767,1.8181966617703438
triangular_v5_gated_topk,123,513346,262144,1000,8.16646432876587,7.279521226882935,8.16241729259491,7.309977412223816,7.309977412223816,39.550741916988045,3.4781832695007324,0.23255765065550804,2.400554798543453
triangular_v4_gated_pair,123,505154,1048576,1000,8.166988253593445,7.280483424663544,8.159879446029663,7.309956252574921,7.309956252574921,23.483543208043557,4.29540228843689,0.14277495257556438,2.9032197520136833
