variant,seed,params,score_elements_per_layer,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,488760,32768,1000,8.166136264801025,7.282123565673828,8.17833161354065,7.313291788101196,7.311525762081146,8.622569541039411,,,
triangular_v5_gated_topk,123,513346,147456,1000,8.166973114013672,7.279317378997803,8.162010550498962,7.30985563993454,7.30985563993454,31.39226216601673,3.341520309448242,0.21973709762096405,2.359315238893032
