variant,seed,params,score_elements_per_layer,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,488760,32768,1000,8.166136264801025,7.282123684883118,8.17833161354065,7.313291966915131,7.311525821685791,5.777013792016078,,,
triangular_v2_scaled,123,505146,1048576,1000,8.16578495502472,7.282769560813904,8.160051822662354,7.311144530773163,7.311144530773163,11.888393708039075,4.7091498374938965,0.09835382364690304,1.8181990459561348
triangular_v1_pair_value,123,505144,1048576,1000,8.16578495502472,7.282753586769104,8.160051822662354,7.311144471168518,7.311144471168518,11.859598957991693,4.752138376235962,0.09321522898972034,1.7221594899892807
