variant,seed,params,score_elements_per_layer,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,488760,32768,300,8.166136264801025,7.265708863735199,8.17833161354065,7.34734719991684,7.34734719991684,5.916929860056068,,,
triangular_v0,123,505144,1048576,300,8.167159795761108,7.257808089256287,8.159859895706177,7.349295794963837,7.349295794963837,11.383503473286206,4.62438702583313,0.10644064657390118,1.7728068754076958
triangular_v1_pair_value,123,505144,1048576,300,8.16578495502472,7.26014256477356,8.160051822662354,7.349309027194977,7.349309027194977,12.068310416652821,4.874208450317383,0.07850481010973454,1.0093581900000572
triangular_v2_scaled,123,505146,1048576,300,8.16578495502472,7.260168552398682,8.160051822662354,7.3493011593818665,7.3493011593818665,12.50180569322159,4.841302394866943,0.0818922109901905,1.07929215580225
triangular_v3_topk,123,513338,262144,300,8.166409373283386,7.273792743682861,8.162549138069153,7.344097077846527,7.344097077846527,19.672579999896698,4.254967927932739,0.10676245763897896,1.1189304739236832
