variant,seed,attention_type,position_mode,params,score_elements_per_layer,score_elements_per_model,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_mean,relation_logit_std,logit_scale,pair_gate
standard_embedding,123,standard,embedding,487224,512,1024,2,7.932615280151367,7.784998893737793,8.502657890319824,8.497684478759766,8.497684478759766,226.99641701183282,,,,,,
triangular_embedding,123,triangular,embedding,511810,1024,2048,2,8.15625,8.014054298400879,8.250191688537598,8.246746063232422,8.246746063232422,164.60531248594634,2.166367530822754,0.2334427759051323,0.003510450740577653,0.19448771327733994,1.0000748038291931,0.11922711879014969
alternating_embedding,123,alternating,embedding,499517,768,1536,2,7.9729413986206055,7.831745147705078,8.191898345947266,8.191452026367188,8.191452026367188,27.670916984789073,2.1656384468078613,0.23516777157783508,-0.007777823600918055,0.19862136244773865,1.0005950927734375,0.11921589076519012
standard_encoding,123,standard,encoding,486712,512,1024,2,8.08226203918457,7.912335395812988,8.256385803222656,8.252083778381348,8.252083778381348,15.305437496863306,,,,,,
triangular_encoding,123,triangular,encoding,511298,1024,2048,2,8.072376251220703,7.91422700881958,7.986456871032715,7.984750270843506,7.984750270843506,32.6492500025779,2.168156147003174,0.23330891877412796,0.0032760826870799065,0.18591295927762985,1.0005943179130554,0.11922375112771988
alternating_encoding,123,alternating,encoding,499005,768,1536,2,8.228574752807617,8.053651809692383,8.070758819580078,8.068123817443848,8.068123817443848,25.394666503416374,2.165034770965576,0.2335035502910614,-0.013348300009965897,0.2136923223733902,1.0001627206802368,0.11917407065629959
