variant,seed,attention_type,position_mode,params,score_elements_per_layer,score_elements_per_model,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_mean,relation_logit_std,logit_scale,pair_gate
standard_embedding,123,standard,embedding,488760,32768,65536,5000,8.166136264801025,6.49660450220108,8.17833161354065,6.675407648086548,6.675407648086548,7.655279958201572,,,,,,
triangular_embedding,123,triangular,embedding,513346,65536,131072,5000,8.166435599327087,6.542530715465546,8.161416172981262,6.693133652210236,6.693133652210236,15.106683449994307,3.5670862197875977,0.12521853670477867,-0.004684615880250931,0.6307726502418518,1.268860936164856,0.12413068488240242
alternating_embedding,123,alternating,embedding,501053,49152,98304,5000,8.179928660392761,6.511583924293518,8.180674195289612,6.70023787021637,6.70023787021637,11.138039866602048,3.611327886581421,0.10869699716567993,-0.10579407215118408,0.6585254669189453,1.2246397733688354,0.12306167930364609
standard_encoding,123,standard,encoding,486712,32768,65536,5000,8.179069638252258,6.179604947566986,8.15334963798523,6.355423331260681,6.355423331260681,5.857764141599182,,,,,,
triangular_encoding,123,triangular,encoding,511298,65536,131072,5000,8.188647150993347,6.153654336929321,8.179059267044067,6.345824718475342,6.345824718475342,14.881584291590844,3.510565757751465,0.12742651998996735,0.21061663422733545,0.8095088601112366,1.3222309350967407,0.12094270437955856
alternating_encoding,123,alternating,encoding,499005,49152,98304,5000,8.168012022972107,6.2222625613212585,8.15776526927948,6.387358784675598,6.387358784675598,10.75464248340577,3.6918458938598633,0.09171447157859802,0.004515253473073244,0.44064950942993164,1.2248070240020752,0.12210068851709366
