variant,seed,params,score_elements_per_layer,score_elements_per_model,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,488760,32768,65536,2000,8.166136264801025,7.274783074855804,8.17833161354065,7.3106478452682495,7.3106478452682495,7.899009645509068,,,
triangular_final,123,513346,65536,131072,2000,8.166435599327087,7.27906346321106,8.161416172981262,7.30869323015213,7.30869323015213,22.421194021007977,3.492701292037964,0.12063105404376984,1.1283092945814133
alternating_standard_triangular,123,501053,49152,98304,2000,8.179928660392761,7.27370285987854,8.180674195289612,7.310674488544464,7.310674488544464,14.625911957991775,3.7038679122924805,0.08678543567657471,0.6622160077095032
standard,456,488760,32768,65536,2000,8.17634630203247,7.277794718742371,8.180920958518982,7.3120535016059875,7.3120535016059875,8.22384558300837,,,
triangular_final,456,513346,65536,131072,2000,8.170024991035461,7.2740707993507385,8.18043565750122,7.311320722103119,7.311320722103119,22.480729375005467,3.73678457736969,0.07814038917422295,0.4663100987672806
alternating_standard_triangular,456,501053,49152,98304,2000,8.176022052764893,7.268322467803955,8.18943977355957,7.314376652240753,7.313341021537781,14.802666062489152,3.6833131313323975,0.08565199375152588,0.9533064961433411
standard,789,488760,32768,65536,2000,8.175363183021545,7.275703072547913,8.173235654830933,7.3109992146492,7.3109992146492,8.16253145848168,,,
triangular_final,789,513346,65536,131072,2000,8.188528180122375,7.276011109352112,8.177143573760986,7.309595048427582,7.309595048427582,21.98633670801064,3.726691484451294,0.07957012951374054,0.5467163249850273
alternating_standard_triangular,789,501053,49152,98304,2000,8.193854808807373,7.278829634189606,8.165090084075928,7.309782087802887,7.309782087802887,14.274023937497986,3.7572641372680664,0.07160748541355133,0.32986071705818176
