variant,seed,params,score_elements_per_layer,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,487736,4096,2,8.19678783416748,8.111846923828125,8.34025764465332,8.33842658996582,8.33842658996582,712.3943750048056,,,
triangular_v0,123,504120,65536,2,8.098770141601562,8.015856742858887,8.175610542297363,8.172710418701172,8.172710418701172,163.75770850572735,3.8162940740585327,0.11145459860563278,0.1994384229183197
triangular_v1_pair_value,123,504120,65536,2,8.104150772094727,8.023855209350586,8.18679141998291,8.18424129486084,8.18424129486084,130.87620798614807,3.8164401054382324,0.11138366162776947,0.19892435520887375
triangular_v2_scaled,123,504122,65536,2,8.104150772094727,8.023853302001953,8.18679141998291,8.18424129486084,8.18424129486084,112.18593749799766,3.816425323486328,0.11138975620269775,0.19901027530431747
triangular_v3_topk,123,512314,4096,2,8.176162719726562,8.096735000610352,8.093535423278809,8.092691421508789,8.092691421508789,185.05591648863629,2.4602644443511963,0.16063028573989868,0.19864393025636673
