variant,seed,params,score_elements_per_layer,steps,initial_loss,initial_accuracy,final_loss,final_accuracy,best_accuracy,ms_per_step,relation_entropy,relation_max_weight
standard,123,109888,28800,2,6.690442085266113,0.0,6.085309028625488,0.0,0.25,72.97897900571115,,
triangular_v2_scaled,123,126274,864000,2,6.487364768981934,0.0,6.611672878265381,0.0,0.0,60.04179149749689,4.958923816680908,0.06114303879439831
