variant,seed,attention_type,position_mode,step,step_loss,train_loss,val_loss,relation_entropy,relation_max_weight,relation_logit_mean,relation_logit_std,logit_scale,pair_gate
standard_embedding,123,standard,embedding,0,,8.166136264801025,8.17833161354065,,,,,,
standard_embedding,123,standard,embedding,100,7.696543216705322,7.598222076892853,7.73482346534729,,,,,,
standard_embedding,123,standard,embedding,200,7.509474277496338,7.326899230480194,7.420901417732239,,,,,,
standard_embedding,123,standard,embedding,300,7.371159553527832,7.265708804130554,7.347347319126129,,,,,,
standard_embedding,123,standard,embedding,400,7.229030132293701,7.262231886386871,7.334474563598633,,,,,,
standard_embedding,123,standard,embedding,500,7.28967809677124,7.266599178314209,7.3226688504219055,,,,,,
standard_embedding,123,standard,embedding,600,7.354625225067139,7.273407936096191,7.32274454832077,,,,,,
standard_embedding,123,standard,embedding,700,7.342477798461914,7.279577910900116,7.316488564014435,,,,,,
standard_embedding,123,standard,embedding,800,7.329742431640625,7.281124174594879,7.3167349100112915,,,,,,
standard_embedding,123,standard,embedding,900,7.232277870178223,7.279452443122864,7.311525821685791,,,,,,
standard_embedding,123,standard,embedding,1000,7.321246147155762,7.282123506069183,7.313291907310486,,,,,,
standard_embedding,123,standard,embedding,1100,7.3991875648498535,7.2737957239151,7.317541062831879,,,,,,
standard_embedding,123,standard,embedding,1200,7.257327079772949,7.274923920631409,7.312512040138245,,,,,,
standard_embedding,123,standard,embedding,1300,7.240727424621582,7.271668910980225,7.314422130584717,,,,,,
standard_embedding,123,standard,embedding,1400,7.285259246826172,7.269718766212463,7.311838090419769,,,,,,
standard_embedding,123,standard,embedding,1500,7.2471923828125,7.271418750286102,7.318518579006195,,,,,,
standard_embedding,123,standard,embedding,1600,7.335558891296387,7.281683623790741,7.320598006248474,,,,,,
standard_embedding,123,standard,embedding,1700,7.336213111877441,7.278366029262543,7.3164926171302795,,,,,,
standard_embedding,123,standard,embedding,1800,7.30891752243042,7.274409711360931,7.317545771598816,,,,,,
standard_embedding,123,standard,embedding,1900,7.460358142852783,7.269793093204498,7.3120463490486145,,,,,,
standard_embedding,123,standard,embedding,2000,7.313296318054199,7.274782955646515,7.310647785663605,,,,,,
standard_embedding,123,standard,embedding,2100,7.243218421936035,7.262814521789551,7.304354012012482,,,,,,
standard_embedding,123,standard,embedding,2200,7.276106834411621,7.250594437122345,7.298416256904602,,,,,,
standard_embedding,123,standard,embedding,2300,7.138993263244629,7.171569526195526,7.290146350860596,,,,,,
standard_embedding,123,standard,embedding,2400,7.437827110290527,7.169083535671234,7.277081608772278,,,,,,
standard_embedding,123,standard,embedding,2500,7.285001754760742,7.1714672446250916,7.265410900115967,,,,,,
standard_embedding,123,standard,embedding,2600,7.220618724822998,7.155180215835571,7.255932986736298,,,,,,
standard_embedding,123,standard,embedding,2700,7.204000473022461,7.148174345493317,7.242785453796387,,,,,,
standard_embedding,123,standard,embedding,2800,7.244742393493652,7.13802033662796,7.225146412849426,,,,,,
standard_embedding,123,standard,embedding,2900,7.140192985534668,7.118899881839752,7.203799486160278,,,,,,
standard_embedding,123,standard,embedding,3000,7.188410758972168,7.104188978672028,7.180842638015747,,,,,,
standard_embedding,123,standard,embedding,3100,7.268218994140625,7.084381818771362,7.159438133239746,,,,,,
standard_embedding,123,standard,embedding,3200,7.154327392578125,7.0660892724990845,7.135665774345398,,,,,,
standard_embedding,123,standard,embedding,3300,7.05783748626709,7.044836580753326,7.113404273986816,,,,,,
standard_embedding,123,standard,embedding,3400,7.089802265167236,7.011377155780792,7.091352880001068,,,,,,
standard_embedding,123,standard,embedding,3500,7.04478645324707,6.993313550949097,7.068785071372986,,,,,,
standard_embedding,123,standard,embedding,3600,7.055339813232422,6.957330226898193,7.0452059507369995,,,,,,
standard_embedding,123,standard,embedding,3700,6.934579849243164,6.925900340080261,7.01688677072525,,,,,,
standard_embedding,123,standard,embedding,3800,6.989341735839844,6.90066522359848,6.997856795787811,,,,,,
standard_embedding,123,standard,embedding,3900,6.970471382141113,6.8814831376075745,6.970215082168579,,,,,,
standard_embedding,123,standard,embedding,4000,6.976348876953125,6.844844579696655,6.937311232089996,,,,,,
standard_embedding,123,standard,embedding,4100,6.98839807510376,6.814958870410919,6.912034869194031,,,,,,
standard_embedding,123,standard,embedding,4200,6.723612308502197,6.7935686111450195,6.886609196662903,,,,,,
standard_embedding,123,standard,embedding,4300,6.8291096687316895,6.769179403781891,6.857206761837006,,,,,,
standard_embedding,123,standard,embedding,4400,6.733146667480469,6.7373098731040955,6.827145159244537,,,,,,
standard_embedding,123,standard,embedding,4500,6.820481300354004,6.702779591083527,6.794824421405792,,,,,,
standard_embedding,123,standard,embedding,4600,6.548887252807617,6.555284142494202,6.770996630191803,,,,,,
standard_embedding,123,standard,embedding,4700,6.748756408691406,6.548607170581818,6.742021203041077,,,,,,
standard_embedding,123,standard,embedding,4800,6.64369010925293,6.540366888046265,6.716435730457306,,,,,,
standard_embedding,123,standard,embedding,4900,6.720315933227539,6.516258776187897,6.700212836265564,,,,,,
standard_embedding,123,standard,embedding,5000,6.607758522033691,6.49660450220108,6.675407648086548,,,,,,
triangular_embedding,123,triangular,embedding,0,,8.166435599327087,8.161416172981262,3.7641046047210693,0.0713493674993515,-0.0009942476463038474,0.1948470175266266,1.0,0.11920291930437088
triangular_embedding,123,triangular,embedding,100,7.753316402435303,7.627570390701294,7.740286648273468,3.7587924003601074,0.07348334416747093,0.038878467050381005,0.22800640761852264,1.0077868103981018,0.11965849250555038
triangular_embedding,123,triangular,embedding,200,7.522507190704346,7.338688373565674,7.418787479400635,3.6144405603408813,0.10206770151853561,1.0052169150440022,0.7245617881417274,1.0321863293647766,0.11998049169778824
triangular_embedding,123,triangular,embedding,300,7.353481769561768,7.270232975482941,7.3450688123703,3.4380297660827637,0.13185306265950203,2.1433690265985206,1.0973703414201736,1.045555293560028,0.12025611847639084
triangular_embedding,123,triangular,embedding,400,7.206491470336914,7.261384308338165,7.331082999706268,3.3081538677215576,0.1545475721359253,3.2569486076245084,1.411585919559002,1.054024338722229,0.12028096616268158
triangular_embedding,123,triangular,embedding,500,7.298405647277832,7.267872095108032,7.320256352424622,3.256458044052124,0.16450151801109314,3.8645464037545025,1.5187065824866295,1.05812406539917,0.12056028097867966
triangular_embedding,123,triangular,embedding,600,7.356001377105713,7.274003028869629,7.320899844169617,3.2132554054260254,0.17506354674696922,4.416327220154926,1.6279185488820076,1.0630837678909302,0.12066221237182617
triangular_embedding,123,triangular,embedding,700,7.3445353507995605,7.282181680202484,7.314522922039032,3.171255588531494,0.18348528817296028,4.917208834784105,1.6833078861236572,1.0665878057479858,0.12070447951555252
triangular_embedding,123,triangular,embedding,800,7.315566062927246,7.281993925571442,7.3141748905181885,3.1811463832855225,0.18153099343180656,5.030846459325403,1.721305638551712,1.066088855266571,0.12068649381399155
triangular_embedding,123,triangular,embedding,900,7.230047225952148,7.279230296611786,7.311047434806824,3.155313730239868,0.1865956336259842,5.317723807878792,1.7585412561893463,1.0676149129867554,0.12085148692131042
triangular_embedding,123,triangular,embedding,1000,7.315133094787598,7.2789658308029175,7.309704840183258,3.137359142303467,0.19160746783018112,5.613966131117195,1.7518680468201637,1.0702054500579834,0.12102542817592621
triangular_embedding,123,triangular,embedding,1100,7.3987345695495605,7.27494204044342,7.31622177362442,3.153383255004883,0.18810301646590233,5.4992392275016755,1.7326010167598724,1.0684600472450256,0.12104518339037895
triangular_embedding,123,triangular,embedding,1200,7.251906394958496,7.275015354156494,7.308911979198456,3.14724338054657,0.18778158351778984,5.731518383137882,1.8035069406032562,1.0712408423423767,0.12124411016702652
triangular_embedding,123,triangular,embedding,1300,7.234035491943359,7.273269474506378,7.313440382480621,3.151658773422241,0.18739880248904228,5.6914393357001245,1.7323800027370453,1.0719728469848633,0.12133052945137024
triangular_embedding,123,triangular,embedding,1400,7.287068843841553,7.27118992805481,7.311145901679993,3.2079979181289673,0.17472075670957565,5.160934618208557,1.6731432676315308,1.0719789862632751,0.12125851958990097
triangular_embedding,123,triangular,embedding,1500,7.247998237609863,7.273850858211517,7.31469202041626,3.2263394594192505,0.17085545510053635,4.929895265027881,1.7558461129665375,1.071961522102356,0.12124282866716385
triangular_embedding,123,triangular,embedding,1600,7.339527130126953,7.282026708126068,7.317369043827057,3.2495373487472534,0.16656845808029175,4.513061692472547,1.6783411800861359,1.0713831186294556,0.12133077159523964
triangular_embedding,123,triangular,embedding,1700,7.335808753967285,7.279434323310852,7.3160563707351685,3.3025190830230713,0.1557406559586525,3.9139856048859656,1.6226166486740112,1.0689997673034668,0.12130982428789139
triangular_embedding,123,triangular,embedding,1800,7.297248840332031,7.276775062084198,7.313217103481293,3.3511935472488403,0.14628184586763382,3.4038443537428975,1.595492735505104,1.0691789388656616,0.1215081438422203
triangular_embedding,123,triangular,embedding,1900,7.467045783996582,7.271775841712952,7.309301018714905,3.4127670526504517,0.13340181857347488,2.7854348737746477,1.461014673113823,1.0699480772018433,0.12151386588811874
triangular_embedding,123,triangular,embedding,2000,7.312479019165039,7.279053330421448,7.308703899383545,3.487580180168152,0.12153571471571922,1.879438937176019,1.1564607620239258,1.0664565563201904,0.12160458788275719
