variant,seed,params,score_elements_per_layer,score_elements_per_model,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,487736,4096,8192,2,8.19678783416748,8.111846923828125,8.34025764465332,8.33842658996582,8.33842658996582,84.39818752231076,,,
triangular_final,123,512322,16384,32768,2,8.181161880493164,8.100197792053223,8.095746994018555,8.095531463623047,8.095531463623047,75.3667920071166,3.3876333236694336,0.11765836179256439,0.20015263557434082
alternating_standard_triangular,123,500029,10240,20480,2,8.054952621459961,7.9681854248046875,8.303500175476074,8.299139976501465,8.299139976501465,27.06456248415634,3.388796806335449,0.1173400729894638,0.19083110988140106
