variant,seed,attention_type,position_mode,step,step_loss,train_loss,val_loss,relation_entropy,relation_max_weight,relation_logit_mean,relation_logit_std,logit_scale,pair_gate
standard_embedding,123,standard,embedding,0,,7.932615280151367,8.502657890319824,,,,,,
standard_embedding,123,standard,embedding,1,7.932615280151367,7.838807106018066,8.500397682189941,,,,,,
standard_embedding,123,standard,embedding,2,8.207836151123047,7.784998893737793,8.497684478759766,,,,,,
triangular_embedding,123,triangular,embedding,0,,8.15625,8.250191688537598,2.166404962539673,0.23344936221837997,0.0037359493144322187,0.19412273913621902,1.0,0.11920291930437088
triangular_embedding,123,triangular,embedding,1,8.15625,8.064823150634766,8.249650001525879,2.1663668155670166,0.23349808901548386,0.0036131501256022602,0.19440797716379166,1.0000000298023224,0.11922716721892357
triangular_embedding,123,triangular,embedding,2,8.160897254943848,8.014054298400879,8.246746063232422,2.166367530822754,0.2334427759051323,0.003510450740577653,0.19448771327733994,1.0000748038291931,0.11922711879014969
alternating_embedding,123,alternating,embedding,0,,7.9729413986206055,8.191898345947266,2.165597677230835,0.23506397008895874,-0.006111526861786842,0.19893689453601837,1.0,0.11920291930437088
alternating_embedding,123,alternating,embedding,1,7.9729413986206055,7.881927967071533,8.193723678588867,2.165658950805664,0.23506346344947815,-0.007778290193527937,0.19847612082958221,1.0003000497817993,0.11920355260372162
alternating_embedding,123,alternating,embedding,2,8.213445663452148,7.831745147705078,8.191452026367188,2.1656384468078613,0.23516777157783508,-0.007777823600918055,0.19862136244773865,1.0005950927734375,0.11921589076519012
standard_encoding,123,standard,encoding,0,,8.08226203918457,8.256385803222656,,,,,,
standard_encoding,123,standard,encoding,1,8.08226203918457,7.973261833190918,8.255508422851562,,,,,,
standard_encoding,123,standard,encoding,2,8.290143966674805,7.912335395812988,8.252083778381348,,,,,,
triangular_encoding,123,triangular,encoding,0,,8.072376251220703,7.986456871032715,2.1681935787200928,0.23329243063926697,0.004125032806769013,0.18574506044387817,1.0,0.11920291930437088
triangular_encoding,123,triangular,encoding,1,8.072376251220703,7.97289514541626,7.9862961769104,2.168166399002075,0.23330091685056686,0.0035336624132469296,0.1858922466635704,1.0003000497817993,0.11921143159270287
triangular_encoding,123,triangular,encoding,2,8.164400100708008,7.91422700881958,7.984750270843506,2.168156147003174,0.23330891877412796,0.0032760826870799065,0.18591295927762985,1.0005943179130554,0.11922375112771988
alternating_encoding,123,alternating,encoding,0,,8.228574752807617,8.070758819580078,2.16519832611084,0.2334994375705719,-0.009805938228964806,0.21413476765155792,1.0,0.11920291930437088
alternating_encoding,123,alternating,encoding,1,8.228574752807617,8.117931365966797,8.071264266967773,2.165154218673706,0.2335382103919983,-0.010283940471708775,0.2144848108291626,1.0003000497817993,0.11918780207633972
alternating_encoding,123,alternating,encoding,2,8.021369934082031,8.053651809692383,8.068123817443848,2.165034770965576,0.2335035502910614,-0.013348300009965897,0.2136923223733902,1.0001627206802368,0.11917407065629959
