variant,seed,attention_type,position_mode,params,score_elements_per_layer,score_elements_per_model,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_mean,relation_logit_std,logit_scale,pair_gate
standard_embedding,123,standard,embedding,487224,512,1024,1,7.932615280151367,7.838807106018066,8.502657890319824,8.500397682189941,8.500397682189941,104.77508301846683,,,,,,
triangular_embedding,123,triangular,embedding,511810,1024,2048,1,8.15625,8.064823150634766,8.250191688537598,8.249650001525879,8.249650001525879,74.3424579850398,2.1663668155670166,0.23349808901548386,0.0036131501256022602,0.19440797716379166,1.0000000298023224,0.11922716721892357
alternating_embedding,123,alternating,embedding,499517,768,1536,1,7.9729413986206055,7.881927967071533,8.191898345947266,8.193723678588867,8.191898345947266,29.741959006059915,2.165658950805664,0.23506346344947815,-0.007778290193527937,0.19847612082958221,1.0003000497817993,0.11920355260372162
standard_encoding,123,standard,encoding,486712,512,1024,1,8.08226203918457,7.973261833190918,8.256385803222656,8.255508422851562,8.255508422851562,16.65245898766443,,,,,,
triangular_encoding,123,triangular,encoding,511298,1024,2048,1,8.072376251220703,7.97289514541626,7.986456871032715,7.9862961769104,7.9862961769104,37.917957990430295,2.168166399002075,0.23330091685056686,0.0035336624132469296,0.1858922466635704,1.0003000497817993,0.11921143159270287
alternating_encoding,123,alternating,encoding,499005,768,1536,1,8.228574752807617,8.117931365966797,8.070758819580078,8.071264266967773,8.070758819580078,30.448459030594677,2.165154218673706,0.2335382103919983,-0.010283940471708775,0.2144848108291626,1.0003000497817993,0.11918780207633972
