model,variant,best_val_mean,best_val_std,loss_reduction_vs_standard,ms_per_step_mean,cost_ratio_vs_standard,score_elements_ratio_vs_standard,params_mean
Standard,standard,7.3112335205078125,0.0005972949363537408,0.0,8.095128895666372,1.0,1.0,488760.0
Triangular,triangular_final,7.309869666894277,0.0010901039598176525,0.0013638536135358592,22.296086701341363,2.7542596280680964,2.0,513346.0
Alternating,alternating_standard_triangular,7.311265865961711,0.0015119077947112907,-3.234545389840804e-05,14.567533985992972,1.7995431788357963,1.5,501053.0
