variant,seed,params,score_elements_per_layer,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,488760,32768,1000,8.166136264801025,7.282123506069183,8.17833161354065,7.313291847705841,7.3115257024765015,8.497703125001863,,,
triangular_v5_gated_topk,123,513346,262144,1000,8.16646432876587,7.2795222997665405,8.16241729259491,7.309977352619171,7.309977352619171,38.757638999959454,3.4784408807754517,0.23249371722340584,2.4006392061710358
triangular_v4_gated_pair,123,505154,1048576,1000,8.166988253593445,7.2804834842681885,8.159879446029663,7.309956252574921,7.309956252574921,23.475126957986504,4.2954018115997314,0.14277498982846737,2.903218798339367
