variant,seed,params,score_elements_per_layer,steps,initial_train_loss,final_train_loss,initial_val_loss,final_val_loss,best_val_loss,ms_per_step,relation_entropy,relation_max_weight,relation_logit_std
standard,123,487736,4096,2,8.19678783416748,8.111846923828125,8.34025764465332,8.33842658996582,8.33842658996582,57.70647947792895,,,
triangular_v4_gated_pair,123,504130,65536,2,8.098125457763672,8.015155792236328,8.17575454711914,8.172922134399414,8.172922134399414,46.4715420093853,3.8163061141967773,0.11144556850194931,0.1994170844554901
